studyName,Date,Island,Colony,Breeding Pairs
PAL2324,2023-11-25,CHR,1.0,0
PAL2324,2023-11-25,CHR,2.0,0
PAL2324,2023-11-25,CHR,3.0,0
PAL2324,2023-11-25,CHR,3.1,0
PAL2324,2023-11-25,CHR,4.1,0
PAL2324,2023-11-25,CHR,4.2,0
PAL2324,2023-11-25,CHR,5.0,0
PAL2324,2023-11-25,CHR,6.0,0
PAL2324,2023-11-25,CHR,7.0,17
PAL2324,2023-11-25,CHR,7.1,0
PAL2324,2023-11-25,CHR,7.2,0
PAL2324,2023-11-25,CHR,8.0,0
PAL2324,2023-11-25,CHR,9.1,0
PAL2324,2023-11-25,CHR,9.2,0
PAL2324,2023-11-25,CHR,10.0,0
PAL2324,2023-11-25,CHR,11.0,0
PAL2324,2023-11-25,COR,1.0,0
PAL2324,2023-11-25,COR,2.0,8
PAL2324,2023-11-25,COR,3.0,0
PAL2324,2023-11-25,COR,4.0,0
PAL2324,2023-11-25,COR,5.0,0
PAL2324,2023-11-25,COR,5.1,3
PAL2324,2023-11-25,COR,6.0,0
PAL2324,2023-11-25,LIT,1.0,0
PAL2324,2023-11-25,LIT,2.0,0
PAL2324,2023-11-25,LIT,3.0,0
PAL2324,2023-11-25,LIT,4.0,0
PAL2324,2023-11-25,LIT,5.0,0
PAL2324,2023-11-25,LIT,6.0,0
PAL2324,2023-11-25,LIT,7.0,0
PAL2324,2023-11-25,LIT,8.0,0
PAL2324,2023-11-25,LIT,9.0,0
PAL2324,2023-11-25,LIT,10.0,0
PAL2324,2023-11-22,HUM,1.0,0
PAL2324,2023-11-22,HUM,1.1,0
PAL2324,2023-11-22,HUM,1.2,0
PAL2324,2023-11-22,HUM,1.3,0
PAL2324,2023-11-22,HUM,2.0,538
PAL2324,2023-11-22,HUM,2.1,0
PAL2324,2023-11-22,HUM,2.2,11
PAL2324,2023-11-22,HUM,3.0,23
PAL2324,2023-11-22,HUM,3.1,0
PAL2324,2023-11-22,HUM,4.0,0
PAL2324,2023-11-22,HUM,5.0,0
PAL2324,2023-11-22,TOR,1.0,0
PAL2324,2023-11-22,TOR,2.0,0
PAL2324,2023-11-22,TOR,3.0,0
PAL2324,2023-11-22,TOR,4.0,0
PAL2324,2023-11-22,TOR,5.0,0
PAL2324,2023-11-22,TOR,6.0,0
PAL2324,2023-11-22,TOR,7.1,0
PAL2324,2023-11-22,TOR,7.2,36
PAL2324,2023-11-22,TOR,7.3,50
PAL2324,2023-11-22,TOR,7.4,0
PAL2324,2023-11-22,TOR,7.5,8
PAL2324,2023-11-22,TOR,8.0,34
PAL2324,2023-11-22,TOR,9.0,0
PAL2324,2023-11-22,TOR,10.0,0
PAL2324,2023-11-22,TOR,11.0,21
PAL2324,2023-11-22,TOR,12.0,0
PAL2324,2023-11-22,TOR,13.0,0
PAL2324,2023-11-22,TOR,14.0,374
PAL2324,2023-11-22,TOR,15.0,0
PAL2324,2023-11-22,TOR,16.0,85
PAL2324,2023-11-22,TOR,16.1,0
PAL2324,2023-11-22,TOR,17.0,0
PAL2324,2023-11-22,TOR,18.0,0
PAL2324,2023-11-22,TOR,19.0,0
PAL2324,2023-11-22,TOR,19.1,0
PAL2324,2023-11-22,TOR,20.0,0
PAL2324,2023-11-22,TOR,21.0,0
PAL2324,2023-11-22,TOR,22.0,0
PAL2324,2023-11-22,TOR,23.0,0
PAL2324,2023-11-22,TOR,23.1,0
