studyName,Date,Island,Colony,Nests in Sample,Nests with One Chick,Nests with Two Chicks,Nests with Eggs
PAL2324,2024-01-13,HUM,2.2,7,3,3,0
PAL2324,2024-01-13,HUM,3.0,11,7,4,1
PAL2324,2024-01-13,HUM,2.0,49,20,29,1
PAL2324,2024-01-13,TOR,11.0,8,6,2,0
PAL2324,2024-01-13,TOR,8.0,16,8,8,1
PAL2324,2024-01-13,TOR,7.3,22,9,13,1
PAL2324,2024-01-13,TOR,7.2,14,6,8,0
PAL2324,2024-01-13,TOR,7.5,0,0,0,0
PAL2324,2024-01-13,TOR,14.1,11,7,4,1
PAL2324,2024-01-13,TOR,14.0,49,22,27,1
PAL2324,2024-01-13,TOR,16.0,45,19,26,4
PAL2324,2024-01-13,COR,2.0,6,4,2,0
PAL2324,2024-01-13,COR,5.1,1,1,0,1
PAL2324,2024-01-13,CHR,7.0,12,6,6,0
