studyName,Date,Island,Colony,Adults,Chicks
PAL2324,2024-02-03,CHR,1.0,0,0
PAL2324,2024-02-03,CHR,2.0,0,0
PAL2324,2024-02-03,CHR,3.0,0,0
PAL2324,2024-02-03,CHR,3.1,0,0
PAL2324,2024-02-03,CHR,4.1,0,0
PAL2324,2024-02-03,CHR,4.2,0,0
PAL2324,2024-02-03,CHR,5.0,0,0
PAL2324,2024-02-03,CHR,6.0,0,0
PAL2324,2024-02-03,CHR,7.0,18,18
PAL2324,2024-02-03,CHR,7.1,0,0
PAL2324,2024-02-03,CHR,7.2,0,0
PAL2324,2024-02-03,CHR,8.0,0,0
PAL2324,2024-02-03,CHR,9.1,0,0
PAL2324,2024-02-03,CHR,9.2,0,0
PAL2324,2024-02-03,CHR,10.0,0,0
PAL2324,2024-02-03,CHR,11.0,0,0
PAL2324,2024-02-03,COR,1.0,0,0
PAL2324,2024-02-03,COR,2.0,6,8
PAL2324,2024-02-03,COR,3.0,0,0
PAL2324,2024-02-03,COR,4.0,0,0
PAL2324,2024-02-03,COR,5.0,0,0
PAL2324,2024-02-03,COR,5.1,5,0
PAL2324,2024-02-03,COR,6.0,0,0
PAL2324,2024-02-03,LIT,1.0,0,0
PAL2324,2024-02-03,LIT,2.0,0,0
PAL2324,2024-02-03,LIT,3.0,0,0
PAL2324,2024-02-03,LIT,4.0,0,0
PAL2324,2024-02-03,LIT,5.0,0,0
PAL2324,2024-02-03,LIT,6.0,0,0
PAL2324,2024-02-03,LIT,7.0,0,0
PAL2324,2024-02-03,LIT,8.0,0,0
PAL2324,2024-02-03,LIT,9.0,0,0
PAL2324,2024-02-03,LIT,10.0,0,0
PAL2324,2024-02-03,HUM,1.1,0,0
PAL2324,2024-02-03,HUM,1.2,0,0
PAL2324,2024-02-03,HUM,1.3,0,0
PAL2324,2024-02-03,HUM,2.0,446,543
PAL2324,2024-02-03,HUM,2.1,0,0
PAL2324,2024-02-03,HUM,2.2,14,10
PAL2324,2024-02-03,HUM,3.0,31,14
PAL2324,2024-02-03,HUM,3.1,0,0
PAL2324,2024-02-03,HUM,4.0,0,0
PAL2324,2024-02-03,HUM,5.0,0,0
PAL2324,2024-02-03,TOR,1.0,0,0
PAL2324,2024-02-03,TOR,2.0,0,0
PAL2324,2024-02-03,TOR,3.0,0,0
PAL2324,2024-02-03,TOR,4.0,0,0
PAL2324,2024-02-03,TOR,5.0,0,0
PAL2324,2024-02-03,TOR,6.0,0,0
PAL2324,2024-02-03,TOR,7.1,0,0
PAL2324,2024-02-03,TOR,7.2,56,22
PAL2324,2024-02-03,TOR,7.3,67,37
PAL2324,2024-02-03,TOR,7.4,0,0
PAL2324,2024-02-03,TOR,7.5,13,0
PAL2324,2024-02-03,TOR,8.0,40,24
PAL2324,2024-02-03,TOR,9.0,0,0
PAL2324,2024-02-03,TOR,10.0,0,0
PAL2324,2024-02-03,TOR,11.0,28,10
PAL2324,2024-02-03,TOR,12.0,0,0
PAL2324,2024-02-03,TOR,13.0,0,0
PAL2324,2024-02-03,TOR,14.0,362,409
PAL2324,2024-02-03,TOR,14.1,49,15
PAL2324,2024-02-03,TOR,15.0,0,0
PAL2324,2024-02-03,TOR,16.0,122,94
PAL2324,2024-02-03,TOR,16.1,0,0
PAL2324,2024-02-03,TOR,17.0,0,0
PAL2324,2024-02-03,TOR,18.0,0,0
PAL2324,2024-02-03,TOR,19.0,0,0
PAL2324,2024-02-03,TOR,19.1,0,0
PAL2324,2024-02-03,TOR,20.0,0,0
PAL2324,2024-02-03,TOR,21.0,0,0
PAL2324,2024-02-03,TOR,22.0,0,0
PAL2324,2024-02-03,TOR,23.0,0,0
PAL2324,2024-02-03,TOR,23.1,0,0
