studyName,Island,Sample Number,Date,Sample Weight,E. superba Weight,Number of E. superba,T. macrura Weight,Number of T. macrura,Fish Weight,Number of Fish,Number of Otoliths
PAL2324,HUM,AD_D_HUM23001,2023-12-25,21.4,21.4,75,0,0,0,0,0
PAL2324,HUM,AD_D_HUM23002,2023-12-25,35.44,35.44,64,0,0,0,0,0
PAL2324,HUM,AD_D_HUM23003,2023-12-25,0.0,0.0,0,0,0,0,0,0
PAL2324,HUM,AD_D_HUM23004,2023-12-25,31.1,31.1,54,0,0,0,0,0
PAL2324,HUM,AD_D_HUM23006,2023-12-25,163.58,163.58,210,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23007,2024-01-01,76.6,76.6,117,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23008,2024-01-01,151.6,151.6,488,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23009,2024-01-01,60.19,60.19,91,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23010,2024-01-01,93.9,93.9,135,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23011,2024-01-01,63.52,63.52,119,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23012,2024-01-06,128.12,128.12,270,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23013,2024-01-06,6.2,6.2,10,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23014,2024-01-06,66.7,66.7,255,0,0,1,0,2
PAL2324,TOR,AD_D_TOR23015,2024-01-06,104.73,104.73,234,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23016,2024-01-06,92.28,92.28,468,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23019,2024-01-23,184.3,184.3,593,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23020,2024-01-23,151.7,151.7,554,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23021,2024-01-23,68.54,68.54,183,0,0,0,0,0
PAL2324,TOR,AD_D_TOR23022,2024-01-23,214.78,214.78,550,0,0,0,0,0
