studyName,Sample Number,Sample Collection Date,Total Number,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60	,61-65
PAL9192,91001,1992-01-15 00:00:00,62,0,0,0,0,15,31,10,5,1,0
PAL9192,91002,1992-01-15 00:00:00,80,3,0,12,4,11,22,19,8,1,0
PAL9192,91003,1992-01-15 00:00:00,73,0,4,3,4,11,26,16,8,1,0
PAL9192,91004,1992-01-15 00:00:00,65,3,3,2,3,11,28,15,0,0,0
PAL9192,91005,1992-01-15 00:00:00,52,0,0,0,1,12,24,8,4,3,0
PAL9192,91006,1992-01-20 00:00:00,81,0,0,4,1,10,15,17,15,17,2
PAL9192,91007,1992-01-20 00:00:00,90,2,7,9,5,13,24,16,9,5,0
PAL9192,91008,1992-01-20 00:00:00,73,0,1,5,8,3,20,26,8,2,0
PAL9192,91009,1992-01-20 00:00:00,68,0,1,2,3,6,19,19,13,3,2
PAL9192,91010,1992-01-20 00:00:00,131,5,10,13,11,22,39,19,11,1,0
PAL9192,91011,1992-01-25 00:00:00,95,0,0,0,1,21,16,17,20,19,1
PAL9192,91012,1992-01-25 00:00:00,83,1,4,6,8,21,25,11,6,1,0
PAL9192,91013,1992-01-25 00:00:00,69,0,0,1,2,7,18,26,13,2,0
PAL9192,91014,1992-01-25 00:00:00,52,0,0,0,0,5,16,17,8,6,0
PAL9192,91015,1992-01-25 00:00:00,47,0,0,0,4,11,21,4,6,1,0
PAL9192,91016,1992-01-30 00:00:00,70,0,0,0,0,10,20,11,16,9,4
PAL9192,91017,1992-01-30 00:00:00,70,0,0,11,18,7,14,11,8,1,0
PAL9192,91018,1992-01-30 00:00:00,69,0,5,16,14,15,13,5,1,0,0
PAL9192,91019,1992-01-30 00:00:00,49,0,0,0,0,3,14,15,7,10,0
PAL9192,91020,1992-01-30 00:00:00,87,0,12,8,14,18,15,11,6,0,3
PAL9192,91021,1992-02-04 00:00:00,36,0,0,0,1,5,6,6,10,7,1
PAL9192,91022,1992-02-04 00:00:00,65,0,0,6,10,17,14,12,5,1,0
PAL9192,91023,1992-02-04 00:00:00,63,0,0,0,4,2,13,15,8,15,6
PAL9192,91024,1992-02-04 00:00:00,75,0,0,4,3,3,15,32,13,5,0
PAL9192,91025,1992-02-04 00:00:00,56,0,0,1,3,5,20,16,7,4,0
PAL9192,91026,1992-02-09 00:00:00,57,0,0,0,0,0,6,18,11,17,5
PAL9192,91027,1992-02-09 00:00:00,44,0,0,1,5,8,13,11,5,1,0
PAL9192,91028,1992-02-09 00:00:00,59,0,0,0,1,2,17,24,15,0,0
PAL9192,91029,1992-02-09 00:00:00,62,0,0,0,0,2,16,21,18,4,1
PAL9192,91030,1992-02-09 00:00:00,95,0,0,16,22,23,18,12,4,0,0
PAL9192,91031,1992-02-14 00:00:00,70,0,0,0,6,6,19,16,13,10,0
PAL9192,91032,1992-02-14 00:00:00,80,0,0,2,5,16,25,15,13,3,1
PAL9192,91033,1992-02-14 00:00:00,72,0,0,0,2,2,23,24,20,1,0
PAL9192,91034,1992-02-14 00:00:00,62,0,0,0,1,3,24,19,10,5,0
PAL9192,91035,1992-02-14 00:00:00,82,0,0,1,2,15,24,27,12,1,0
PAL9192,91036,1992-02-19 00:00:00,68,0,0,0,2,2,14,31,14,5,0
PAL9192,91037,1992-02-19 00:00:00,90,0,0,0,9,7,23,28,18,4,1
PAL9192,91038,1992-02-19 00:00:00,58,0,0,0,0,1,9,27,19,2,0
PAL9192,91039,1992-02-19 00:00:00,77,0,0,0,0,2,9,25,20,13,8
PAL9192,91040,1992-02-19 00:00:00,62,0,0,1,2,6,20,19,13,1,0
PAL9293,92001,1993-01-11 00:00:00,53,0,0,6,22,8,10,7,0,0,0
PAL9293,92002,1993-01-11 00:00:00,50,0,3,11,20,7,8,1,0,0,0
PAL9293,92003,1993-01-11 00:00:00,52,0,0,7,27,14,1,3,0,0,0
PAL9293,92004,1993-01-11 00:00:00,56,0,0,7,19,17,10,2,1,0,0
PAL9293,92005,1993-01-11 00:00:00,50,0,0,0,30,11,6,2,1,0,0
PAL9293,92006,1993-01-19 00:00:00,53,0,0,3,23,16,10,1,0,0,0
PAL9293,92007,1993-01-19 00:00:00,50,0,0,2,24,15,8,1,0,0,0
PAL9293,92008,1993-01-19 00:00:00,54,0,0,1,13,22,17,1,0,0,0
PAL9293,92009,1993-01-19 00:00:00,48,0,0,4,24,16,3,1,0,0,0
PAL9293,92010,1993-01-19 00:00:00,50,0,0,1,25,14,9,1,0,0,0
PAL9293,92011,1993-01-23 00:00:00,50,0,0,4,29,15,2,0,0,0,0
