studyName,Date,Island,Location,Band Number,Weight
PAL2021,2021-01-31,HUM,BCH,0,3650
PAL2021,2021-02-03,HUM,BCH,0,2750
PAL2021,2021-02-03,HUM,BCH,0,3200
PAL2021,2021-02-03,HUM,BCH,0,3200
PAL2021,2021-02-03,HUM,BCH,0,2800
PAL2021,2021-02-03,HUM,BCH,0,2600
PAL2021,2021-02-05,HUM,BCH,0,3250
PAL2021,2021-02-05,HUM,BCH,0,3250
PAL2021,2021-02-05,HUM,BCH,0,3250
PAL2021,2021-02-05,HUM,BCH,0,2750
PAL2021,2021-02-08,HUM,BCH,0,3000
PAL2021,2021-02-08,HUM,BCH,0,2650
PAL2021,2021-02-08,HUM,BCH,0,2750
PAL2021,2021-02-08,HUM,BCH,0,3100
PAL2021,2021-02-08,HUM,BCH,0,2700
PAL2021,2021-02-08,HUM,BCH,0,3350
PAL2021,2021-02-08,HUM,BCH,0,2750
PAL2021,2021-02-08,HUM,BCH,0,3050
PAL2021,2021-02-08,HUM,BCH,0,3050
PAL2021,2021-02-08,HUM,BCH,0,3250
PAL2021,2021-02-08,HUM,BCH,0,3150
PAL2021,2021-02-08,HUM,BCH,0,2500
PAL2021,2021-02-08,HUM,BCH,0,3050
PAL2021,2021-02-09,HUM,BCH,0,2950
PAL2021,2021-02-09,HUM,BCH,0,3050
PAL2021,2021-02-09,HUM,BCH,0,2850
PAL2021,2021-02-09,HUM,BCH,0,2750
PAL2021,2021-02-09,HUM,BCH,0,3150
PAL2021,2021-02-09,HUM,BCH,0,2700
PAL2021,2021-02-09,HUM,BCH,0,2150
PAL2021,2021-02-09,HUM,BCH,0,3150
PAL2021,2021-02-09,HUM,BCH,0,2800
PAL2021,2021-02-09,HUM,BCH,0,2550
PAL2021,2021-02-09,HUM,BCH,0,3400
PAL2021,2021-02-09,HUM,BCH,0,3200
PAL2021,2021-02-09,HUM,BCH,0,3500
PAL2021,2021-02-14,HUM,BCH,0,2050
PAL2021,2021-02-14,HUM,BCH,0,2500
PAL2021,2021-02-14,HUM,BCH,0,3050
PAL2021,2021-02-14,HUM,BCH,0,3050
PAL2021,2021-02-14,HUM,BCH,0,2400
PAL2021,2021-02-14,HUM,BCH,0,3050
PAL2021,2021-02-14,HUM,BCH,0,2750
PAL2021,2021-02-14,HUM,BCH,0,2850
PAL2021,2021-02-14,HUM,BCH,0,2050
PAL2021,2021-02-14,HUM,BCH,0,2900
PAL2021,2021-02-14,HUM,BCH,0,2450
PAL2021,2021-02-14,HUM,BCH,0,2200
PAL2021,2021-02-14,HUM,BCH,0,3050
PAL2021,2021-02-14,HUM,BCH,0,3050
