studyName,Date,Island,Colony,Adults
PAL2223,2022-11-16,HUM,2.1,0
PAL2223,2022-11-16,HUM,2.2,19
PAL2223,2022-11-16,HUM,3.0,45
PAL2223,2022-11-16,HUM,5.0,0
PAL2223,2022-11-18,HUM,2.1,0
PAL2223,2022-11-18,HUM,2.2,21
PAL2223,2022-11-18,HUM,3.0,46
PAL2223,2022-11-18,HUM,5.0,0
PAL2223,2022-11-19,HUM,2.1,0
PAL2223,2022-11-19,HUM,2.2,23
PAL2223,2022-11-19,HUM,3.0,42
PAL2223,2022-11-19,HUM,5.0,0
PAL2223,2022-11-22,HUM,2.1,16
PAL2223,2022-11-22,HUM,2.2,0
PAL2223,2022-11-22,HUM,3.0,39
PAL2223,2022-11-22,HUM,5.0,0
PAL2223,2022-11-27,HUM,2.1,0
PAL2223,2022-11-27,HUM,2.2,12
PAL2223,2022-11-27,HUM,3.0,27
PAL2223,2022-11-27,HUM,5.0,0
PAL2223,2022-12-02,HUM,2.1,0
PAL2223,2022-12-02,HUM,2.2,14
PAL2223,2022-12-02,HUM,3.0,25
PAL2223,2022-12-02,HUM,5.0,0
PAL2223,2022-12-06,HUM,2.1,0
PAL2223,2022-12-06,HUM,2.2,13
PAL2223,2022-12-06,HUM,3.0,27
PAL2223,2022-12-06,HUM,5.0,0
PAL2223,2022-12-10,HUM,2.1,0
PAL2223,2022-12-10,HUM,2.2,11
PAL2223,2022-12-10,HUM,3.0,29
PAL2223,2022-12-10,HUM,5.0,0
PAL2223,2022-12-14,HUM,2.1,0
PAL2223,2022-12-14,HUM,2.2,13
PAL2223,2022-12-14,HUM,3.0,23
PAL2223,2022-12-14,HUM,5.0,0
PAL2223,2022-12-20,HUM,2.1,0
PAL2223,2022-12-20,HUM,2.2,12
PAL2223,2022-12-20,HUM,3.0,33
PAL2223,2022-12-20,HUM,5.0,0
PAL2223,2022-12-23,HUM,2.1,0
PAL2223,2022-12-23,HUM,2.2,12
PAL2223,2022-12-23,HUM,3.0,36
PAL2223,2022-12-23,HUM,5.0,0
PAL2223,2022-12-27,HUM,2.1,0
PAL2223,2022-12-27,HUM,2.2,14
PAL2223,2022-12-27,HUM,3.0,30
PAL2223,2022-12-27,HUM,5.0,0
PAL2223,2022-12-31,HUM,2.1,0
PAL2223,2022-12-31,HUM,2.2,12
PAL2223,2022-12-31,HUM,3.0,29
PAL2223,2022-12-31,HUM,5.0,0
PAL2223,2023-01-05,HUM,2.1,0
PAL2223,2023-01-05,HUM,2.2,14
PAL2223,2023-01-05,HUM,3.0,38
PAL2223,2023-01-05,HUM,5.0,0
PAL2223,2023-01-09,HUM,2.1,0
PAL2223,2023-01-09,HUM,2.2,15
PAL2223,2023-01-09,HUM,3.0,37
PAL2223,2023-01-09,HUM,5.0,0
PAL2223,2023-01-11,HUM,2.1,0
PAL2223,2023-01-11,HUM,2.2,11
PAL2223,2023-01-11,HUM,3.0,29
PAL2223,2023-01-11,HUM,5.0,0
PAL2223,2023-01-16,HUM,2.1,0
PAL2223,2023-01-16,HUM,2.2,13
PAL2223,2023-01-16,HUM,3.0,34
PAL2223,2023-01-16,HUM,5.0,0
PAL2223,2023-01-21,HUM,2.1,0
PAL2223,2023-01-21,HUM,2.2,15
PAL2223,2023-01-21,HUM,3.0,36
PAL2223,2023-01-21,HUM,5.0,0
PAL2223,2023-01-28,HUM,2.1,0
PAL2223,2023-01-28,HUM,2.2,7
PAL2223,2023-01-28,HUM,3.0,27
PAL2223,2023-01-28,HUM,5.0,0
PAL2223,2023-02-04,HUM,2.1,0
PAL2223,2023-02-04,HUM,2.2,8
PAL2223,2023-02-04,HUM,3.0,15
PAL2223,2023-02-04,HUM,5.0,0
PAL2223,2023-02-11,HUM,2.1,0
PAL2223,2023-02-11,HUM,2.2,1
PAL2223,2023-02-11,HUM,3.0,5
PAL2223,2023-02-11,HUM,5.0,0
PAL2223,2023-02-16,HUM,2.1,0
PAL2223,2023-02-16,HUM,2.2,0
PAL2223,2023-02-16,HUM,3.0,0
PAL2223,2023-02-16,HUM,5.0,0
PAL2223,2023-02-21,HUM,2.1,0
PAL2223,2023-02-21,HUM,2.2,0
PAL2223,2023-02-21,HUM,3.0,0
PAL2223,2023-02-21,HUM,5.0,0
