studyName,Island,Colony,Site Number,Nest Number,Egg 1 Lay Date,Egg 2 Lay Date,Egg 1 Loss Date,Egg 2 Loss Date,Chick 1 Hatch Date,Chick 2 Hatch Date,Chick 1 Loss Date,Chick 2 Loss Date,Chick 1 Creche Date,Chick 2 Creche Date,Notes
PAL2223,TOR,14,1,1,49,50,,,81,83,,89,117,,
PAL2223,TOR,14,1,2,49,58,,101,84,,,,117,,
PAL2223,TOR,14,1,3,48,49,,77,85,,,,116,,
PAL2223,TOR,14,1,4,49,51,,69,85,,,,116,,
PAL2223,TOR,14,1,5,53,58,,,87,89,,,116,116,
PAL2223,TOR,14,2,1,48,50,,58,83,,97,,,,
PAL2223,TOR,14,2,2,48,49,,,86,86,,,117,117,
PAL2223,TOR,14,2,3,47,50,,67,84,,,,116,,
PAL2223,TOR,14,2,4,51,53,,71,86,,,,115,,
PAL2223,TOR,14,2,5,48,49,77,77,,,,,,,
PAL2223,TOR,14,3,1,53,58,,77,86,,,,117,,
PAL2223,TOR,14,3,2,63,,,,92,,,,114,,
PAL2223,TOR,14,3,3,48,51,58,58,,,,,,,
PAL2223,TOR,14,3,4,51,53,,,83,85,,,115,115,
PAL2223,TOR,14,3,5,49,51,,,85,86,,90,115,,
PAL2223,TOR,14,4,1,51,,,,85,,97,,,,
PAL2223,TOR,14,4,2,48,49,58,53,,,,,,,
PAL2223,TOR,14,4,3,53,58,63,63,,,,,,,
PAL2223,TOR,14,4,4,53,,,,91,,,,117,,
PAL2223,TOR,14,4,5,49,53,,63,86,,,,117,,
PAL2223,TOR,14,5,1,48,51,,77,83,,,,117,,
PAL2223,TOR,14,5,2,49,53,,,85,86,,,117,117,
PAL2223,TOR,14,5,3,47,50,,67,83,,,,117,,
PAL2223,TOR,14,5,4,53,63,,,93,94,,103,117,,
PAL2223,TOR,14,5,5,50,58,,70,86,,,,117,,
PAL2223,TOR,14,6,1,48,51,,53,84,,,,117,,
PAL2223,TOR,14,6,2,49,58,,,88,90,,97,117,,
PAL2223,TOR,14,6,3,51,63,,67,83,,,,117,,
PAL2223,TOR,14,6,4,53,53,,,88,90,,,117,117,
PAL2223,TOR,14,6,5,47,63,,58,83,,,,117,,
PAL2223,HUM,2,1,1,51,,63,,,,,,,,
PAL2223,HUM,2,1,2,47,49,50,50,,,,,,,
PAL2223,HUM,2,1,3,53,58,,,89,90,,92,117,,
PAL2223,HUM,2,1,4,47,49,,,80,87,,97,121,,
PAL2223,HUM,2,1,5,50,53,,,84,86,,,121,121,
PAL2223,HUM,2,2,1,,,,,,,,,,,
PAL2223,HUM,2,2,2,53,,,,92,,,,121,,
PAL2223,HUM,2,2,3,47,49,,,82,83,,,117,117,
PAL2223,HUM,2,2,4,47,49,,,86,87,,,112,112,
PAL2223,HUM,2,2,5,50,53,,,86,87,,,121,121,
PAL2223,HUM,2,3,1,51,58,,,86,88,,,117,117,
PAL2223,HUM,2,3,2,48,51,,,83,84,,,122,122,
PAL2223,HUM,2,3,3,58,58,,,87,89,,,122,122,
PAL2223,HUM,2,3,4,58,60,,97,92,,,,122,,
PAL2223,HUM,2,3,5,58,58,,,90,90,,,122,122,
PAL2223,HUM,2,4,1,47,49,,72,74,,85,,,,
PAL2223,HUM,2,4,2,47,51,,,83,83,,,121,121,
PAL2223,HUM,2,4,3,47,48,,,77,79,,90,121,,
PAL2223,HUM,2,4,4,48,51,,77,83,,,,121,,
PAL2223,HUM,2,4,5,47,48,,,81,81,,,121,121,
PAL2223,HUM,2,5,1,53,58,,,88,90,,91,121,,
PAL2223,HUM,2,5,2,47,47,,81,76,,,,121,,
PAL2223,HUM,2,5,3,47,49,,51,74,,83,,,,
PAL2223,HUM,2,5,4,47,47,,,72,74,,,122,122,
PAL2223,HUM,2,5,5,47,,,,81,,,,122,,
PAL2223,HUM,2,6,1,48,,50,,,,,,,,
PAL2223,HUM,2,6,2,47,47,,,77,77,83,91,,,
PAL2223,HUM,2,6,3,47,49,116,112,,,,,,,
PAL2223,HUM,2,6,4,53,58,,,87,89,,,117,117,
PAL2223,HUM,2,6,5,47,51,,95,85,,,,121,,
