studyName,Cruise,Year/Month,Station,Event Number,Depth,Latitude,Longitude,YearDay/Hour/Minute,Sea State,Salinity,Fluorometry,Wind Speed,Wind Direction,Habitat,Ice Cover,Ice Type,Ice Color,Count Minute,Species,Number,Linkages,Behavior,Direction,Notes
NBP21-13,2113,2111,831.-002,5,584,-63.575,-60.7,3261116,2,34.32,0.55,8,220,0,0,0,0,0,NONE,0,0,NULL,NULL,NULL
NBP21-13,2113,2111,831.-002,5,584,-63.575,-60.7,3261116,2,34.32,0.55,8,220,0,0,0,0,1,ANPE,1,0,2,NULL,NULL
NBP21-13,2113,2111,831.-002,5,584,-63.575,-60.7,3261116,2,34.32,0.55,8,220,0,0,0,0,2,CAPE,2,0,2,NULL,NULL
NBP21-13,2113,2111,831.-002,5,584,-63.575,-60.7,3261116,2,34.32,0.55,8,220,0,0,0,0,3,WISP,1,0,1,150,NULL
NBP21-13,2113,2111,831.-002,5,584,-63.575,-60.7,3261116,2,34.32,0.55,8,220,0,0,0,0,4,HUWH,1,0,5,310,NULL
NBP21-13,2113,2111,831.-002,5,584,-63.575,-60.7,3261116,2,34.32,0.55,8,220,0,0,0,0,7,SOFU,2,0,2,NULL,NULL
NBP21-13,2113,2111,831.-002,5,584,-63.575,-60.7,3261116,2,34.32,0.55,8,220,0,0,0,0,8,KEGU,1,0,1,310,NULL
NBP21-13,2113,2111,831.-002,5,584,-63.575,-60.7,3261116,2,34.32,0.55,8,220,0,0,0,0,16,CAPE,2,0,0,NULL,SC END
NBP21-13,2113,2111,831.-002,8,688,-63.578,-60.676,3260107,2,34.33,0.44,1.7,12,0,0,0,0,0,NONE,0,0,NULL,NULL,Sc start
NBP21-13,2113,2111,831.-002,8,688,-63.578,-60.676,3260107,2,34.33,0.44,1.7,12,0,0,0,0,1,SOFU,1,0,1,100,NULL
NBP21-13,2113,2111,831.-002,8,688,-63.578,-60.676,3260107,2,34.33,0.44,1.7,12,0,0,0,0,3,SOFU,4,0,2,NULL,NULL
NBP21-13,2113,2111,831.-002,8,688,-63.578,-60.676,3260107,2,34.33,0.44,1.7,12,0,0,0,0,4,CAPE,1,0,2,NULL,NULL
NBP21-13,2113,2111,831.-002,8,688,-63.578,-60.676,3260107,2,34.33,0.44,1.7,12,0,0,0,0,8,KEGU,1,0,1,280,NULL
NBP21-13,2113,2111,831.-002,8,688,-63.578,-60.676,3260107,2,34.33,0.44,1.7,12,0,0,0,0,9,SOFU,2,0,1,100,NULL
NBP21-13,2113,2111,831.-002,8,688,-63.578,-60.676,3260107,2,34.33,0.44,1.7,12,0,0,0,0,12,KEGU,2,0,3,NULL,NULL
NBP21-13,2113,2111,831.-002,8,688,-63.578,-60.676,3260107,2,34.33,0.44,1.7,12,0,0,0,0,14,SOFU,1,0,1,180,NULL
NBP21-13,2113,2111,831.-002,8,688,-63.578,-60.676,3260107,2,34.33,0.44,1.7,12,0,0,0,0,16,NONE,0,0,NULL,NULL,SC END
NBP21-13,2113,2111,831.-002,9,574,-63.577,-60.687,3261457,0,34.325,0.46,16.4,226,0,0,0,0,0,NONE,0,0,NULL,NULL,SC start
NBP21-13,2113,2111,831.-002,9,574,-63.577,-60.687,3261457,0,34.325,0.46,16.4,226,0,0,0,0,1,HUWH,2,0,5,100,NULL
NBP21-13,2113,2111,831.-002,9,574,-63.577,-60.687,3261457,0,34.325,0.46,16.4,226,0,0,0,0,2,SOFU,3,0,2,NULL,NULL
NBP21-13,2113,2111,831.-002,9,574,-63.577,-60.687,3261457,0,34.325,0.46,16.4,226,0,0,0,0,5,SOFU,6,0,2,NULL,NULL
NBP21-13,2113,2111,831.-002,9,574,-63.577,-60.687,3261457,0,34.325,0.46,16.4,226,0,0,0,0,7,SOFU,2,0,1,30,NULL
NBP21-13,2113,2111,831.-002,9,574,-63.577,-60.687,3261457,0,34.325,0.46,16.4,226,0,0,0,0,16,NONE,0,0,NULL,NULL,SC end
NBP21-13,2113,2111,806.048,15,563,-63.472,-61.786,3261903,5,33.99,0.69,12,232,0,0,0,0,0,SOFU,3,0,2,NULL,NULL
NBP21-13,2113,2111,806.048,15,563,-63.472,-61.786,3261903,5,33.99,0.69,12,232,0,0,0,0,2,SOFU,1,0,2,NULL,NULL
NBP21-13,2113,2111,806.048,15,563,-63.472,-61.786,3261903,5,33.99,0.69,12,232,0,0,0,0,7,SOFU,7,0,2,NULL,NULL
NBP21-13,2113,2111,806.048,15,563,-63.472,-61.786,3261903,5,33.99,0.69,12,232,0,0,0,0,10,SPSK,1,0,1,140,NULL
NBP21-13,2113,2111,806.048,15,563,-63.472,-61.786,3261903,5,33.99,0.69,12,232,0,0,0,0,16,SOFU,2,0,0,NULL,SC end
NBP21-13,2113,2111,806.048,18,604,-63.469,-61.781,3262014,3,33.98,0.66,15.2,237,0,0,0,0,0,GIPE,1,0,2,NULL,SC start
NBP21-13,2113,2111,806.048,18,604,-63.469,-61.781,3262014,3,33.98,0.66,15.2,237,0,0,0,0,1,SOFU,1,0,2,NULL,NULL
NBP21-13,2113,2111,806.048,18,604,-63.469,-61.781,3262014,3,33.98,0.66,15.2,237,0,0,0,0,1,HUWH,1,0,5,NULL,NULL
NBP21-13,2113,2111,806.048,18,604,-63.469,-61.781,3262014,3,33.98,0.66,15.2,237,0,0,0,0,4,SOFU,3,0,2,NULL,NULL
NBP21-13,2113,2111,806.048,18,604,-63.469,-61.781,3262014,3,33.98,0.66,15.2,237,0,0,0,0,5,HUWH,1,0,5,NULL,NULL
NBP21-13,2113,2111,806.048,18,604,-63.469,-61.781,3262014,3,33.98,0.66,15.2,237,0,0,0,0,11,SOFU,1,0,2,NULL,NULL
NBP21-13,2113,2111,806.048,18,604,-63.469,-61.781,3262014,3,33.98,0.66,15.2,237,0,0,0,0,16,NONE,0,0,NULL,NULL,"SC end, 2m net tow"
NBP21-13,2113,2111,806.048,19,577,-63.471,-61.783,3262104,4,33.98,0.63,20.3,226,0,0,0,0,0,SOFU,3,0,0,NULL,SC start. 2 m net tow
NBP21-13,2113,2111,806.048,19,577,-63.471,-61.783,3262104,4,33.98,0.63,20.3,226,0,0,0,0,3,ANTE,1,0,1,226,NULL
