studyName,Event Number,Cruise,Count Minute,Species,Number,Linkages,Behavior,Direction,Notes
NBP21-13,10,2113,0,NONE,0,0,NULL,NULL,NULL
NBP21-13,10,2113,31,NONE,0,0,0,NULL,SC end
NBP21-13,11,2113,0,NONE,0,0,0,NULL,NULL
NBP21-13,11,2113,26,UNWH,2,0,5,20,NULL
NBP21-13,11,2113,31,NONE,0,0,0,NULL,SC end
NBP21-13,13,2113,0,NONE,0,0,NULL,NULL,SC Start
NBP21-13,13,2113,11,UNSK,1,0,2,NULL,NULL
NBP21-13,13,2113,11,WISP,1,0,1,200,NULL
NBP21-13,13,2113,18,SOFU,1,0,1,90,NULL
NBP21-13,13,2113,21,SOFU,1,0,2,NULL,NULL
NBP21-13,13,2113,22,GIPE,1,0,1,310,NULL
NBP21-13,13,2113,23,SOFU,1,0,2,NULL,"Met up with previous 2 SOFUs, all 3 began following ship"
NBP21-13,13,2113,38,NONE,0,0,0,NULL,SC end
NBP21-13,22,2113,0,NONE,0,0,0,NULL,SC start
NBP21-13,22,2113,1,SOFU,2,0,0,NULL,Following from last station
NBP21-13,22,2113,28,UNWH,1,0,5,NULL,NULL
NBP21-13,22,2113,31,SOFU,2,0,0,NULL,SC end
NBP21-13,23,2113,0,NONE,0,0,0,NULL,SC start
NBP21-13,23,2113,20,HUWH,2,0,5,NULL,NULL
NBP21-13,23,2113,27,GIPE,1,0,1,233,NULL
NBP21-13,23,2113,31,NONE,0,0,0,NULL,SC end
NBP21-13,24,2113,0,NONE,0,0,0,NULL,SC start
NBP21-13,24,2113,38,NONE,0,0,0,NULL,"SC end, too little light, ended before midway pt"
NBP21-13,30,2113,0,NONE,0,0,0,NULL,NULL
NBP21-13,30,2113,1,ANPE,10,0,0,NULL,NULL
NBP21-13,30,2113,1,CAPE,2,0,0,NULL,NULL
NBP21-13,30,2113,1,SNPE,1,0,0,NULL,NULL
NBP21-13,30,2113,11,HUWH,1,0,5,0,NULL
NBP21-13,30,2113,28,UNSK,1,0,1,350,NULL
NBP21-13,30,2113,29,SOFU,2,0,1,310,NULL
NBP21-13,30,2113,31,NONE,0,0,0,NULL,SC end
NBP21-13,31,2113,0,ANTE,2,0,0,NULL,SC Start
NBP21-13,31,2113,1,SNPE,1,0,0,NULL,NULL
