studyName,Date,Island,Colony,Breeding Pairs
PAL2021,2020-12-08,CHR,1,0
PAL2021,2020-12-08,CHR,2,0
PAL2021,2020-12-08,CHR,3,0
PAL2021,2020-12-08,CHR,3.1,0
PAL2021,2020-12-08,CHR,4.1,0
PAL2021,2020-12-08,CHR,4.2,0
PAL2021,2020-12-08,CHR,5,0
PAL2021,2020-12-08,CHR,6,0
PAL2021,2020-12-08,CHR,7,15
PAL2021,2020-12-08,CHR,7.1,0
PAL2021,2020-12-08,CHR,7.2,0
PAL2021,2020-12-08,CHR,8,0
PAL2021,2020-12-08,CHR,9.1,0
PAL2021,2020-12-08,CHR,9.2,0
PAL2021,2020-12-08,CHR,10,0
PAL2021,2020-12-08,CHR,11,0
PAL2021,2020-12-08,COR,1,0
PAL2021,2020-12-08,COR,2,4
PAL2021,2020-12-08,COR,3,4
PAL2021,2020-12-08,COR,4,0
PAL2021,2020-12-08,COR,5,0
PAL2021,2020-12-08,COR,5.1,5
PAL2021,2020-12-08,COR,6,0
PAL2021,2020-12-04,LIT,1,0
PAL2021,2020-12-04,LIT,2,0
PAL2021,2020-12-04,LIT,3,0
PAL2021,2020-12-04,LIT,4,0
PAL2021,2020-12-04,LIT,5,0
PAL2021,2020-12-04,LIT,6,0
PAL2021,2020-12-04,LIT,7,0
PAL2021,2020-12-04,LIT,8,0
PAL2021,2020-12-04,LIT,9,0
PAL2021,2020-12-04,LIT,10,0
PAL2021,2020-12-04,HUM,1.1,0
PAL2021,2020-12-04,HUM,1.2,0
PAL2021,2020-12-04,HUM,1.3,0
PAL2021,2020-12-04,HUM,2,506
PAL2021,2020-12-04,HUM,2.1,2
PAL2021,2020-12-04,HUM,2.2,13
PAL2021,2020-12-04,HUM,3,26
PAL2021,2020-12-04,HUM,3.1,0
PAL2021,2020-12-04,HUM,4,0
PAL2021,2020-12-04,HUM,5,0
PAL2021,2020-12-04,TOR,1,0
PAL2021,2020-12-04,TOR,2,0
PAL2021,2020-12-04,TOR,3,0
PAL2021,2020-12-04,TOR,4,0
PAL2021,2020-12-04,TOR,5,0
PAL2021,2020-12-04,TOR,6,0
PAL2021,2020-12-04,TOR,7.1,0
PAL2021,2020-12-04,TOR,7.2,37
PAL2021,2020-12-04,TOR,7.3,56
PAL2021,2020-12-04,TOR,7.4,0
PAL2021,2020-12-04,TOR,7.5,12
PAL2021,2020-12-04,TOR,8,42
PAL2021,2020-12-04,TOR,9,6
PAL2021,2020-12-04,TOR,10,0
PAL2021,2020-12-04,TOR,11,25
PAL2021,2020-12-04,TOR,12,0
PAL2021,2020-12-04,TOR,13,0
PAL2021,2020-12-04,TOR,14,439
PAL2021,2020-12-04,TOR,15,0
PAL2021,2020-12-05,TOR,16,138
PAL2021,2020-12-04,TOR,16.1,0
PAL2021,2020-12-04,TOR,17,0
PAL2021,2020-12-04,TOR,18,0
PAL2021,2020-12-04,TOR,19,0
PAL2021,2020-12-04,TOR,19.1,0
PAL2021,2020-12-04,TOR,20,0
PAL2021,2020-12-04,TOR,21,0
PAL2021,2020-12-04,TOR,22,0
PAL2021,2020-12-04,TOR,23,0
PAL2021,2020-12-04,TOR,23.1,0
