studyName,Date,Island,Colony,Adults
PAL2021,2020-12-04,HUM,2.1,2
PAL2021,2020-12-04,HUM,2.2,16
PAL2021,2020-12-04,HUM,3,31
PAL2021,2020-12-04,HUM,5,0
PAL2021,2020-12-08,HUM,2.1,2
PAL2021,2020-12-08,HUM,2.2,12
PAL2021,2020-12-08,HUM,3,31
PAL2021,2020-12-08,HUM,5,0
PAL2021,2020-12-13,HUM,2.1,1
PAL2021,2020-12-13,HUM,2.2,12
PAL2021,2020-12-13,HUM,3,26
PAL2021,2020-12-13,HUM,5,0
PAL2021,2020-12-16,HUM,2.1,4
PAL2021,2020-12-16,HUM,2.2,18
PAL2021,2020-12-16,HUM,3,33
PAL2021,2020-12-16,HUM,5,0
PAL2021,2020-12-22,HUM,2.1,3
PAL2021,2020-12-22,HUM,2.2,20
PAL2021,2020-12-22,HUM,3,35
PAL2021,2020-12-22,HUM,5,0
PAL2021,2020-12-26,HUM,2.1,2
PAL2021,2020-12-26,HUM,2.2,17
PAL2021,2020-12-26,HUM,3,33
PAL2021,2020-12-26,HUM,5,0
PAL2021,2020-12-31,HUM,2.1,0
PAL2021,2020-12-31,HUM,2.2,23
PAL2021,2020-12-31,HUM,3,32
PAL2021,2020-12-31,HUM,5,0
PAL2021,2021-01-04,HUM,2.1,0
PAL2021,2021-01-04,HUM,2.2,22
PAL2021,2021-01-04,HUM,3,40
PAL2021,2021-01-04,HUM,5,0
PAL2021,2021-01-09,HUM,2.1,0
PAL2021,2021-01-09,HUM,2.2,20
PAL2021,2021-01-09,HUM,3,30
PAL2021,2021-01-09,HUM,5,0
PAL2021,2021-01-14,HUM,2.1,0
PAL2021,2021-01-14,HUM,2.2,18
PAL2021,2021-01-14,HUM,3,36
PAL2021,2021-01-14,HUM,5,0
PAL2021,2021-01-18,HUM,2.1,0
PAL2021,2021-01-18,HUM,2.2,19
PAL2021,2021-01-18,HUM,3,33
PAL2021,2021-01-18,HUM,5,0
PAL2021,2021-01-21,HUM,2.1,0
PAL2021,2021-01-21,HUM,2.2,14
PAL2021,2021-01-21,HUM,3,28
PAL2021,2021-01-21,HUM,5,0
PAL2021,2021-01-26,HUM,2.1,0
PAL2021,2021-01-26,HUM,2.2,14
PAL2021,2021-01-26,HUM,3,19
PAL2021,2021-01-26,HUM,5,0
PAL2021,2021-01-31,HUM,2.1,0
PAL2021,2021-01-31,HUM,2.2,4
PAL2021,2021-01-31,HUM,3,2
PAL2021,2021-01-31,HUM,5,0
PAL2021,2021-02-05,HUM,2.1,0
PAL2021,2021-02-05,HUM,2.2,3
PAL2021,2021-02-05,HUM,3,0
PAL2021,2021-02-05,HUM,5,0
PAL2021,2021-02-08,HUM,2.1,0
PAL2021,2021-02-08,HUM,2.2,0
PAL2021,2021-02-08,HUM,3,1
PAL2021,2021-02-08,HUM,5,0
PAL2021,2021-02-14,HUM,2.1,0
PAL2021,2021-02-14,HUM,2.2,0
PAL2021,2021-02-14,HUM,3,0
PAL2021,2021-02-14,HUM,5,0
